class_id,canonical_species_name,scientific_name,total_images,source_datasets,approval_status,selection_status,selection_reason
DRAVYA_0156,Santalum album (Sandalwood),Santalum album,58,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (58 images < 100 minimum threshold).
DRAVYA_0157,Datura metel (Indian Thornapple),Datura metel,57,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (57 images < 100 minimum threshold).
DRAVYA_0158,Marsilea minuta (Water Clover),Marsilea minuta,57,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (57 images < 100 minimum threshold).
DRAVYA_0159,Cissus sicyoides (Trellis Vine),Cissus sicyoides,57,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (57 images < 100 minimum threshold).
DRAVYA_0160,Tabernaemontana divaricata (Crape Jasmine),Tabernaemontana divaricata,56,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (56 images < 100 minimum threshold).
DRAVYA_0161,Muntingia calabura (Jamaica Cherry),Muntingia calabura,56,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (56 images < 100 minimum threshold).
DRAVYA_0162,Syzygium jambos (Rose Apple),Syzygium jambos,56,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (56 images < 100 minimum threshold).
DRAVYA_0163,Mexican Prickly Poppy_Argemone Mexicana,Argemone mexicana,55,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (55 images < 100 minimum threshold).
DRAVYA_0164,Cleome viscosa (Spiderwisp),Cleome viscosa,55,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (55 images < 100 minimum threshold).
DRAVYA_0165,Ipomoea aquatica (Water Spinach),Ipomoea aquatica,55,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (55 images < 100 minimum threshold).
DRAVYA_0166,Night Blooming Cereus_Epiphyllum Oxypetalum,Epiphyllum oxypetalum,54,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (54 images < 100 minimum threshold).
DRAVYA_0167,Prickly Chaff Flower_Achyranthes Aspera,Achyranthes aspera,54,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (54 images < 100 minimum threshold).
DRAVYA_0168,Hibiscus sabdariffa (Roselle/Gongura),Hibiscus sabdariffa,53,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (53 images < 100 minimum threshold).
DRAVYA_0169,Madras Pea Pumpkin_Sesbania Grandiflora,Sesbania grandiflora,53,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (53 images < 100 minimum threshold).
DRAVYA_0170,Senna alexandrina (Tinnevelly Senna),Senna alexandrina,53,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (53 images < 100 minimum threshold).
DRAVYA_0171,Malabar_Nut,Unknown,51,Kaggle,NEEDS_REVIEW,EXCLUDED,Insufficient image count (51 images < 100 minimum threshold).
DRAVYA_0172,Coccinia grandis (Ivy Gourd),Coccinia grandis,51,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (51 images < 100 minimum threshold).
DRAVYA_0173,Malabar_Nut-Justicia Adhatoda,Justicia adhatoda,51,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (51 images < 100 minimum threshold).
DRAVYA_0174,Rasna_Alpinia Galanga,Alpinia galanga,50,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (50 images < 100 minimum threshold).
DRAVYA_0175,Ficus auriculata (Roxburgh Fig),Ficus auriculata,50,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (50 images < 100 minimum threshold).
DRAVYA_0176,Pea-Pisum Sativum,Pisum sativum,47,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (47 images < 100 minimum threshold).
DRAVYA_0177,Raddish,Unknown,40,Kaggle,NEEDS_REVIEW,EXCLUDED,Insufficient image count (40 images < 100 minimum threshold).
DRAVYA_0178,Raddish-Raphanus Sativus,Raphanus sativus,40,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (40 images < 100 minimum threshold).
DRAVYA_0179,Syzygium cumini (Jamun),Syzygium cumini,39,Hugging_Face,NEEDS_REVIEW,EXCLUDED,Insufficient image count (39 images < 100 minimum threshold).
DRAVYA_0180,Unspecified Leaf Samples,Unknown,11,CIMPd,REJECTED,EXCLUDED,Non-plant / corrupt junk images folder.
